                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.34728,                0.36629,                0.85984,                0.81086,                 0.7423,                0.82218,                0.77327,                0.34974,                0.66596,                0.83766,             0.00069006,             0.00069006,             0.00069006
                     54,                0.34877,                0.36544,                0.85864,                0.83603,                0.82022,                0.87676,                0.82422,                0.35465,                0.57579,                0.84369,             0.00068731,             0.00068731,             0.00068731
                     55,                0.34067,                0.35514,                0.86015,                0.80391,                0.79744,                0.86508,                0.81104,                0.34802,                0.57278,                0.84116,             0.00068456,             0.00068456,             0.00068456
                     56,                0.33934,                0.34988,                0.86509,                0.81201,                 0.7819,                0.85306,                0.79935,                0.36298,                 0.6606,                0.85662,             0.00068181,             0.00068181,             0.00068181
                     57,                0.34326,                0.36427,                0.86443,                0.80228,                0.78245,                0.85989,                0.81267,                0.34569,                0.57452,                0.83948,             0.00067906,             0.00067906,             0.00067906
                     58,                0.32567,                0.33733,                 0.8585,                0.83227,                0.77764,                0.86219,                0.80796,                0.34881,                0.59222,                0.84282,             0.00067631,             0.00067631,             0.00067631
                     59,                 0.3336,                0.33692,                0.85275,                0.84411,                0.77898,                0.85149,                0.80205,                0.34681,                0.60884,                0.84078,             0.00067356,             0.00067356,             0.00067356
                     60,                0.33326,                0.33206,                0.85345,                0.84196,                0.77159,                0.85889,                 0.8092,                0.35244,                0.54569,                0.84199,             0.00067081,             0.00067081,             0.00067081
                     61,                 0.3318,                0.35034,                0.85926,                0.82243,                 0.7992,                 0.8592,                0.80833,                0.34532,                0.62044,                0.84402,             0.00066807,             0.00066807,             0.00066807
                     62,                0.33429,                0.34166,                0.85109,                0.80867,                0.76644,                0.84496,                0.78641,                0.36507,                0.59993,                0.84226,             0.00066532,             0.00066532,             0.00066532
                     63,                0.33409,                 0.3219,                0.85255,                0.80631,                0.82362,                0.85531,                0.80696,                0.33817,                0.57873,                0.83676,             0.00066257,             0.00066257,             0.00066257
                     64,                0.32846,                0.32526,                0.85647,                0.84941,                0.76636,                 0.8597,                 0.8108,                0.34728,                0.55763,                0.84023,             0.00065982,             0.00065982,             0.00065982
                     65,                0.33109,                0.32326,                0.85817,                0.85556,                0.76717,                0.84882,                0.79584,                 0.3564,                0.57666,                0.84154,             0.00065707,             0.00065707,             0.00065707
                     66,                0.32861,                0.35365,                0.86008,                0.78017,                0.79393,                0.83388,                0.78553,                0.34367,                 0.6218,                0.83975,             0.00065432,             0.00065432,             0.00065432
                     67,                  0.322,                0.33258,                0.85024,                0.82164,                0.75535,                0.82603,                0.77206,                0.35305,                0.64907,                0.83519,             0.00065157,             0.00065157,             0.00065157
                     68,                 0.3301,                  0.331,                 0.8554,                0.83349,                0.79764,                0.86249,                0.81207,                0.34886,                0.55906,                0.84077,             0.00064882,             0.00064882,             0.00064882
                     69,                0.32944,                0.32062,                0.85955,                0.79789,                 0.8308,                 0.8682,                0.81536,                0.35213,                0.54291,                0.84348,             0.00064607,             0.00064607,             0.00064607
                     70,                0.31593,                0.33061,                0.85528,                0.82698,                0.79538,                0.85642,                0.80673,                0.34916,                0.58927,                0.84312,             0.00064333,             0.00064333,             0.00064333
                     71,                0.32133,                0.31485,                0.85266,                0.79588,                0.78466,                0.82864,                0.77981,                0.34049,                0.64529,                0.83856,             0.00064058,             0.00064058,             0.00064058
                     72,                0.31851,                0.31944,                0.85257,                0.83438,                0.75727,                0.84908,                 0.7982,                 0.3449,                0.59571,                 0.8351,             0.00063783,             0.00063783,             0.00063783
                     73,                0.31832,                0.30484,                0.85275,                0.81716,                0.81056,                0.85719,                 0.8091,                0.34076,                0.58035,                0.83207,             0.00063508,             0.00063508,             0.00063508
                     74,                0.32357,                0.30871,                0.85262,                0.81274,                 0.7985,                0.86768,                0.81466,                0.34759,                0.56598,                0.83682,             0.00063233,             0.00063233,             0.00063233
                     75,                 0.3161,                0.31033,                0.85353,                0.81764,                 0.7573,                0.81796,                0.76778,                 0.3511,                0.66971,                0.83965,             0.00062958,             0.00062958,             0.00062958
                     76,                0.31263,                0.29649,                0.85185,                0.85374,                0.78336,                0.86819,                0.81732,                0.35428,                0.54349,                0.84631,             0.00062683,             0.00062683,             0.00062683
                     77,                0.31499,                0.30002,                0.84866,                 0.8577,                0.78869,                0.86473,                0.81053,                0.35353,                0.56739,                0.84486,             0.00062408,             0.00062408,             0.00062408
                     78,                0.30456,                0.29429,                0.85544,                0.84592,                 0.7919,                0.86566,                0.81008,                0.35663,                 0.5564,                0.84517,             0.00062133,             0.00062133,             0.00062133
                     79,                0.31506,                0.30088,                 0.8527,                0.85153,                0.75889,                 0.8521,                0.80201,                0.34241,                0.61111,                0.84158,             0.00061859,             0.00061859,             0.00061859
                     80,                0.31618,                0.31144,                0.85361,                0.83899,                 0.7933,                0.86707,                0.81325,                 0.3671,                0.57592,                0.87996,             0.00061584,             0.00061584,             0.00061584
                     81,                0.30727,                0.29637,                0.85514,                 0.7862,                 0.8496,                0.87624,                0.82141,                0.35604,                0.53805,                0.85332,             0.00061309,             0.00061309,             0.00061309
                     82,                0.31024,                0.28316,                 0.8448,                0.83258,                0.81731,                 0.8812,                0.82767,                0.34887,                0.53233,                0.84983,             0.00061034,             0.00061034,             0.00061034
                     83,                0.30229,                0.28834,                0.85264,                0.85563,                0.77433,                0.86047,                0.80981,                0.34433,                0.57049,                0.84056,             0.00060759,             0.00060759,             0.00060759
                     84,                0.30758,                0.30226,                0.84899,                0.74301,                 0.8296,                0.83521,                0.78825,                0.34415,                0.61418,                0.84338,             0.00060484,             0.00060484,             0.00060484
                     85,                0.30174,                0.28827,                0.85066,                0.81744,                 0.7859,                0.83506,                0.78702,                0.35001,                0.62763,                0.84906,             0.00060209,             0.00060209,             0.00060209
                     86,                0.30744,                0.29367,                0.84693,                0.82326,                 0.8155,                0.85384,                0.80258,                 0.3479,                0.62328,                0.85096,             0.00059934,             0.00059934,             0.00059934
                     87,                0.30421,                0.27637,                 0.8453,                0.85305,                0.77141,                0.87041,                0.82057,                0.33882,                0.56557,                0.83862,             0.00059659,             0.00059659,             0.00059659
                     88,                0.29796,                0.28308,                0.84933,                 0.7706,                0.80138,                0.82107,                0.77348,                0.34919,                0.65675,                0.84961,             0.00059385,             0.00059385,             0.00059385
                     89,                0.29524,                0.28999,                0.84964,                0.78253,                0.83009,                0.83983,                0.78926,                 0.3552,                0.57414,                0.85468,              0.0005911,              0.0005911,              0.0005911
